,1
0,낙지천하
1,금화
2,석정한정식
3,토담고디탕
4,청송
5,소반
6,유림산천식당
7,감자꽃피는감자탕
8,남옥식당
9,거구장
10,대영장어
11,늘품한우
12,생우림
13,정림
14,옥수정가든
15,수산시장
16,종정헌
17,황부자숯불갈비
18,짜장박사
19,남해향촌
20,풍운정
21,이화가든
22,갑을식당
