,1
0,전통순대촌
1,곰애
2,매화다찌
3,우람한우마을(상남동)
4,우람한우마을(마산)
5,이코이
6,이가숯불갈비
7,한려숯불갈비
8,항남뚝배기
9,지명전골
10,솔향오리농원
11,옥수정가든
12,일자봉
13,장수녹각삼계탕(덕계동)
14,경원궁&미나미
15,낙동강 칠백리
16,가얏골감자탕
17,금별식당
18,도리원
19,혜성식당
20,하동솔잎한우프라자
21,바우석쇠
22,옥계촌
