,5
0,금화
1,백제계삼탕
2,생초메기탕
3,임진각식당(팔용동)
4,정운각
5,주남오리알
6,중동식당
7,비비돈까스
8,갯마을낙지
9,와사비
10,자갈마당식당
11,천지우식당
12,경복궁창원점
13,청송
14,석정원숯불갈비
15,영생각
16,유림산천식당
17,강변횟집
18,독불장군
19,꽃마름샤브진해석동점
20,동심
21,송원왕갈비
22,신라아구찜
23,팔각정
24,원주특수통닭(동성동)
25,(주)엠비씨컨벤션진주
26,감나무집
27,자연채한정식
28,거구장
29,용화찜
30,모이세삼겹살
31,늘품한우
32,개성순대
33,청수정
34,웨딩블랑
35,썬바다횟집
36,지중해
37,수산시장
38,청해대복
39,대가저수지가든
40,우성갈비
41,정든집
42,남해 대청마루
43,수정숯불갈비
44,전망대횟집
45,향원식당
46,물레방아식당
47,신화루
48,늘봄가든(함양)
49,예다믄
50,외양간구시
51,참숯골
