,4
0,가마솥추어탕
1,이바돔감자탕(용호동)
2,함양옻닭명곡점
3,해훈식당
4,목포밴댕이
5,삼포복집
6,신가음정횟집
7,왕가옥
8,도원오리궁
9,소반
10,홍화
11,복자할매충무김밥
12,감자꽃피는감자탕
13,마당있는집(합성동)
14,맛있는 생오리
15,키다리횟집
16,섬마을
17,무교동낙지(용원점)
18,함흥면옥
19,더하우스갑을
20,고기달인
21,뚱보화로불고기 칠암점
22,개성삼계탕
23,남옥식당
24,은혜갈비
25,천지연횟집
26,풍년복집
27,지리산마천흑돼지
28,생우림
29,한방바다장어구이
30,고궁식육식당
31,맛찬들왕소금구이 옥포점
32,남다른감자탕고현점
33,진송추어탕(양산)
34,나룻터가는길
35,서울식육식당
36,우포한우프라자
37,조선옥삼계탕
38,제일횟집
39,미소담
40,남해향촌
41,범바구집
42,아리산반점
43,영실한우프라자
44,파스타부오노(거창점)
