,0
0,국일성
1,기장대게
2,생초메기탕
3,주남오리궁(동읍)
4,주남오리알
5,소정숯불갈비
6,섬진강식당
7,석정원숯불갈비
8,유가네뽕잎칼국수
9,왕창이해물칼국수
10,키다리횟집
11,갈비도사
12,담배집
13,팔각정
14,진해농협한우정
15,원주특수통닭(동성동)
16,더하우스갑을
17,두성유통(주)문산휴게소
18,만리장성
19,아리랑한정식
20,삼가한우소리
21,개성삼계탕
22,뚱보화로불고기 평거점
23,두루춘풍
24,항남뚝배기
25,진주집(사천)
26,경복궁숯불갈비
27,숲뫼정
28,석정숯불갈비
29,솔향오리농원
30,일자봉
31,황금고디탕
32,박정현게장백반
33,외포9번횟집
34,수산시장
35,솔밭가든
36,사랑채(함안)
37,양평해장국(함안)
38,가얏골감자탕
39,금별식당
40,석정숯불갈비
41,공룡알
42,주남오리궁(동읍)
43,제일횟집
44,남해향촌
45,섬진강식당
46,하동솔잎한우프라자
47,영도숯불갈비
48,갑을식당(함양)
49,청학산
50,늘봄가든(함양)
51,예다믄
52,외양간구시
53,옥계촌
54,합천명품토종흑돼지
55,금호관
