,7
0,유정숯불갈비
1,향우본가(식육식당)
2,백제령삼계탕
3,목우언덕
4,하연옥(하대점)
5,서울식당
6,한려숯불갈비
7,엄마손충무김밥
8,고쌈
9,갑오삼계탕
10,개성순대
11,동화반점
12,옥수정가든
13,외포등대횟집
14,죽림산방
15,화림초밥
16,화덕본가
17,수라한정식
18,보물선횟집
19,매실떡갈비
20,대웅
21,레아모
22,거창복어
23,백운식당
24,약천메기탕
