,6
0,산채한정식
1,육거리곰탕
2,웨딩블랑
3,효진수산횟집
4,계룡산숯불갈비 장승포점
5,맛찬들왕소금구이 옥포점
6,고현횟집
7,낙동강 칠백리
8,고궁
9,혜성식당
10,물레방아식당
11,물장구식육식당
12,동의약선관
13,삼산이수
14,부자돼지
